Goal 13

AREA,"2023-24","2020"
"India","67","54"
"Sikkim","81","65"
"Tamil Nadu","81","61"
"Kerala","80","69"
"Meghalaya","80","62"
"Mizoram","79","66"
"Nagaland","79","69"
"Gujarat","74","67"
"Karnataka","73","62"
"Maharashtra","73","58"
"Manipur","71","57"
"Uttarakhand","71","60"
"Andhra Pradesh","70","63"
"Punjab","66","51"
"Odisha","64","70"
"Madhya Pradesh","63","49"
"Himachal Pradesh","62","62"
"Rajasthan","62","49"
"Arunachal Pradesh","61","58"
"Haryana","60","51"
"Assam","59","53"
"Telangana","59","43"
"Goa","54","44"
"Uttar Pradesh","52","39"
"Tripura","51","41"
"Chhattisgarh","47","38"
"West Bengal","44","39"
"Bihar","34","16"
"Jharkhand","30","25"
