Goal 3

AREA,"2019-20","2018"
"India","61","52"
"Kerala","82","92"
"Andhra Pradesh","76","68"
"Maharashtra","76","60"
"Tamil Nadu","76","77"
"Karnataka","72","69"
"Punjab","71","71"
"West Bengal","70","66"
"Gujarat","67","52"
"Himachal Pradesh","67","62"
"Telangana","66","73"
"Haryana","65","57"
"Manipur","62","67"
"Odisha","61","54"
"Tripura","61","53"
"Goa","60","65"
"Sikkim","59","52"
"Rajasthan","58","49"
"Uttarakhand","58","36"
"Jharkhand","55","40"
"Meghalaya","53","52"
"Chhattisgarh","52","42"
"Mizoram","52","53"
"Arunachal Pradesh","50","38"
"Madhya Pradesh","50","38"
"Assam","44","30"
"Bihar","44","40"
"Uttar Pradesh","34","25"
"Nagaland","29","34"
