Goal 4

AREA,"2018"
"India","58"
"Himachal Pradesh","81"
"Kerala","74"
"Goa","71"
"Manipur","70"
"Tamil Nadu","70"
"Haryana","68"
"Karnataka","67"
"Punjab","67"
"Uttarakhand","66"
"Maharashtra","65"
"Telangana","64"
"Mizoram","61"
"Arunachal Pradesh","58"
"Sikkim","58"
"Meghalaya","55"
"Tripura","55"
"Madhya Pradesh","54"
"Jammu & Kashmir","54"
"Andhra Pradesh","52"
"Chhattisgarh","52"
"Rajasthan","51"
"West Bengal","50"
"Uttar Pradesh","48"
"Gujarat","47"
"Nagaland","47"
"Assam","44"
"Jharkhand","42"
"Odisha","40"
"Bihar","19"
