Goal 4

AREA,"2023-24","2020"
"India","61","57"
"Kerala","82","80"
"Haryana","77","64"
"Himachal Pradesh","77","74"
"Tamil Nadu","76","69"
"Punjab","75","60"
"Uttarakhand","73","70"
"Goa","72","71"
"Maharashtra","67","64"
"Sikkim","67","58"
"Manipur","65","63"
"Mizoram","65","60"
"Telangana","64","63"
"Chhattisgarh","63","55"
"Karnataka","63","64"
"Rajasthan","63","60"
"Jharkhand","61","45"
"West Bengal","60","54"
"Gujarat","58","52"
"Uttar Pradesh","54","51"
"Andhra Pradesh","52","50"
"Arunachal Pradesh","52","41"
"Tripura","52","42"
"Madhya Pradesh","49","45"
"Nagaland","46","39"
"Assam","41","43"
"Meghalaya","40","48"
"Odisha","40","45"
"Bihar","32","29"
