Goal 4

AREA,"2020-21","2019"
"India","57","58"
"Kerala","80","74"
"Himachal Pradesh","74","81"
"Goa","71","71"
"Uttarakhand","70","66"
"Tamil Nadu","69","70"
"Haryana","64","68"
"Karnataka","64","67"
"Maharashtra","64","65"
"Manipur","63","70"
"Telangana","63","64"
"Mizoram","60","61"
"Punjab","60","67"
"Rajasthan","60","51"
"Sikkim","58","58"
"Chhattisgarh","55","52"
"West Bengal","54","50"
"Gujarat","52","47"
"Uttar Pradesh","51","48"
"Andhra Pradesh","50","52"
"Meghalaya","48","55"
"Jharkhand","45","42"
"Madhya Pradesh","45","54"
"Odisha","45","40"
"Assam","43","44"
"Tripura","42","55"
"Arunachal Pradesh","41","58"
"Nagaland","39","47"
"Bihar","29","19"
