Goal 4

AREA,"2019-20","2018"
"India","58","58"
"Himachal Pradesh","81","82"
"Kerala","74","87"
"Goa","71","71"
"Manipur","70","65"
"Tamil Nadu","70","75"
"Haryana","68","65"
"Karnataka","67","76"
"Punjab","67","63"
"Uttarakhand","66","68"
"Maharashtra","65","74"
"Telangana","64","66"
"Mizoram","61","54"
"Arunachal Pradesh","58","44"
"Sikkim","58","47"
"Meghalaya","55","38"
"Tripura","55","56"
"Madhya Pradesh","54","49"
"Andhra Pradesh","52","77"
"Chhattisgarh","52","53"
"Rajasthan","51","73"
"West Bengal","50","51"
"Uttar Pradesh","48","53"
"Gujarat","47","67"
"Nagaland","47","45"
"Assam","44","54"
"Jharkhand","42","58"
"Odisha","40","46"
"Bihar","19","36"
