Goal 3

AREA,"2020-21","2019"
"India","74","61"
"Gujarat","86","67"
"Maharashtra","83","76"
"Tamil Nadu","81","76"
"Mizoram","79","52"
"Himachal Pradesh","78","67"
"Karnataka","78","72"
"Andhra Pradesh","77","76"
"Punjab","77","71"
"Uttarakhand","77","58"
"West Bengal","76","70"
"Jharkhand","74","55"
"Goa","72","60"
"Haryana","72","65"
"Kerala","72","82"
"Meghalaya","70","53"
"Rajasthan","70","58"
"Manipur","68","62"
"Odisha","67","61"
"Telangana","67","66"
"Tripura","67","61"
"Bihar","66","44"
"Arunachal Pradesh","64","50"
"Madhya Pradesh","62","50"
"Sikkim","62","59"
"Nagaland","61","29"
"Chhattisgarh","60","52"
"Uttar Pradesh","60","34"
"Assam","59","44"
